1,153,89,99,121,97,118,71,94,39,37,42,37
2,147,86,97,117,114,163,76,83,37,37,42,37
3,141,84,95,114,117,151,73,73,37,37,41,36
4,135,84,94,113,115,136,68,67,42,37,41,37
5,127,84,93,112,118,125,65,93,42,36,40,37
6,124,89,96,112,109,120,67,79,41,35,40,50
7,123,108,102,109,102,123,69,66,39,35,40,59
8,125,119,98,106,97,112,65,59,38,45,40,64
9,125,115,95,105,121,109,62,55,38,56,42,67
10,121,108,99,105,140,117,59,54,37,53,41,62
11,118,103,114,103,128,111,57,53,36,52,40,63
12,119,101,137,99,120,101,59,52,36,48,40,65
13,117,103,154,122,113,94,58,51,35,47,39,71
14,114,103,170,138,107,89,55,49,35,44,39,82
15,112,104,180,125,101,93,53,48,35,43,39,82
16,109,106,170,129,129,95,52,48,34,41,39,79
17,107,107,168,129,239,91,52,47,34,40,38,97
18,104,119,226,126,219,85,52,46,34,39,38,122
19,102,117,213,124,180,80,51,45,34,39,38,105
20,102,118,197,120,157,78,51,44,36,38,38,93
21,104,115,178,114,140,75,55,43,51,43,37,83
22,103,116,165,110,139,72,58,42,61,60,37,74
23,101,111,161,108,138,70,55,42,54,65,37,69
24,99,105,155,105,148,68,61,42,46,59,40,64
25,97,102,148,102,165,72,74,41,42,56,43,60
26,96,101,141,99,152,71,74,40,40,52,43,60
27,96,99,135,97,138,67,66,40,39,48,41,58
28,96,99,130,96,126,65,63,39,39,47,40,53
29,94,,130,95,143,64,62,39,38,47,39,50
30,92,,133,96,140,64,161,39,37,44,38,53
31,91,,127,,121,,125,39,,43,,56
