1,190,107,270,145,180,123,99,121,54,70,60,179
2,168,107,227,146,174,117,88,108,54,67,55,313
3,148,110,202,146,166,130,86,90,52,62,58,355
4,133,144,186,145,157,170,82,89,53,60,58,293
5,121,162,177,147,158,192,79,84,52,56,56,254
6,113,169,165,145,162,190,76,105,51,55,57,229
7,104,168,157,144,174,214,75,90,49,54,56,229
8,101,177,156,157,191,190,69,82,48,52,59,201
9,101,193,169,158,181,166,68,92,47,52,72,180
10,99,194,165,180,173,149,67,97,46,51,78,164
11,101,194,157,304,164,138,61,89,45,52,83,152
12,99,179,163,502,154,128,60,79,46,60,97,141
13,97,142,170,483,147,122,69,74,46,62,104,133
14,127,136,196,413,195,127,88,72,45,66,181,124
15,222,132,216,320,208,127,81,78,46,72,182,115
16,238,128,225,268,179,118,74,70,46,94,156,106
17,193,124,228,239,212,167,70,66,46,126,146,103
18,201,120,227,223,204,132,65,65,47,163,161,112
19,244,119,226,221,177,115,64,62,46,131,200,156
20,236,120,228,221,162,108,62,61,46,109,240,144
21,240,115,229,217,150,108,60,59,45,97,193,131
22,213,116,230,195,143,108,58,64,45,89,158,123
23,183,183,221,180,141,102,57,71,46,82,143,118
24,164,228,269,186,144,96,60,62,45,76,156,114
25,152,204,257,278,138,93,64,59,79,71,144,110
26,142,194,220,294,130,90,115,56,106,68,128,118
27,133,226,200,258,123,86,131,67,137,67,119,178
28,132,290,184,225,119,84,240,66,126,66,139,216
29,128,305,170,205,119,93,172,61,93,63,158,196
30,118,,161,190,126,119,172,57,79,59,155,181
31,112,,152,,129,,136,56,,58,,162
