1,90,104,99,162,126,77,57,70,43,76,97,294
2,89,102,114,156,122,75,55,71,43,68,84,277
3,86,101,120,166,119,81,54,74,42,63,80,219
4,82,98,117,175,117,90,62,73,44,101,74,184
5,81,101,121,183,115,89,77,66,43,177,70,191
6,103,112,133,185,136,99,64,63,40,133,66,192
7,212,132,128,167,194,99,57,59,38,104,61,301
8,243,167,131,156,175,103,54,58,37,90,62,282
9,220,143,168,153,151,105,55,64,36,81,61,223
10,184,131,199,159,139,90,54,67,34,75,58,188
11,170,123,221,162,131,81,51,60,33,70,57,169
12,170,116,224,172,124,80,49,56,34,67,56,178
13,187,110,253,191,119,91,48,54,35,64,55,177
14,184,105,263,195,115,151,47,52,46,62,55,168
15,168,103,219,185,111,140,49,50,60,60,56,154
16,154,101,195,197,108,115,50,49,81,59,55,143
17,146,96,188,188,110,99,49,48,79,59,54,152
18,142,92,202,173,107,89,48,48,70,62,55,411
19,146,94,206,174,104,85,48,47,59,61,54,348
20,147,96,200,174,102,79,48,47,52,60,53,259
21,143,96,188,168,107,74,46,46,62,58,52,217
22,137,96,184,162,104,70,77,45,70,56,59,192
23,142,98,214,166,105,67,100,44,62,55,64,168
24,133,99,312,162,108,64,164,43,58,54,60,152
25,124,100,307,156,104,62,243,43,58,53,127,142
26,118,101,252,149,96,61,185,44,123,53,270,134
27,113,102,220,147,91,59,141,43,185,53,187,124
28,112,102,203,143,86,63,125,43,140,52,145,118
29,109,101,188,136,83,65,100,43,107,53,148,112
30,104,,175,131,81,60,84,46,88,80,261,106
31,102,,169,,79,,76,45,,103,,102
